Tietuetunnus,Ajopäivämäärä,Postinumero,Postinumeron nimi suomeksi,Postinumeron nimi ruotsiksi,Postinumeron nimen lyhenne suomeksi,Postinumeron nimen lyhenne ruotsiksi,Voimaantulopäivämäärä,Tyyppikoodi,Hallinnollisen alueen koodi ,Hallinnollisen alueen nimi suomeksi,Hallinnollisen alueen ruotsiksi,Kunnan koodi,Kunnan nimi suomeksi,Kunnan nimi ruotsiksi,Kunnan kielisuhdekoodi
PONOT,20200622,79700,HEINÄVESI,HEINÄVESI,,,19881101,1,FI1D1,Etelä-Savo,Södra Savolax,090,Heinävesi,Heinävesi,1
PONOT,20200622,86240,PYHÄNKOSKI,PYHÄNKOSKI,,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,483,Merijärvi,Merijärvi,1
PONOT,20200622,97390,KIERINKI,KIERINKI,,,19860101,1,FI1D7,Lappi,Lappland,758,Sodankylä,Sodankylä,1
PONOT,20200622,00900,HELSINKI,HELSINGFORS,HKI,HFORS,19881001,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,091,Helsinki,Helsingfors,2
PONOT,20200622,02760,ESPOO,ESBO,,,19960829,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,049,Espoo,Esbo,2
PONOT,20200622,07590,ASKOLA,ASKOLA,,,20190101,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,018,Askola,Askola,1
PONOT,20200622,13720,PAROLA,PAROLA,,,19881001,1,FI1C2,Kanta-Häme,Egentliga Tavastland,082,Hattula,Hattula,1
PONOT,20200622,50350,NOROLA,NOROLA,,,19880101,1,FI1D1,Etelä-Savo,Södra Savolax,491,Mikkeli,S:t Michel,1
PONOT,20200622,55700,IMATRA,IMATRA,,,19881101,1,FI1C5,Etelä-Karjala,Södra Karelen,153,Imatra,Imatra,1
PONOT,20200622,56800,SIMPELE,SIMPELE,,,19970303,1,FI1C5,Etelä-Karjala,Södra Karelen,689,Rautjärvi,Rautjärvi,1
